Nov-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1RA SEMANA,,,,,,,,,,2DA SEMANA,,,,,,,,,,3RA SEMANA,,,,,,,,,,4TA SEMANA,,,,,,,,,,,,,,,,
,1RA SEMANA,,,,,,,,,,2DA SEMANA,,,,,,,,,,3RA SEMANA,,,,,,,,,,4TA SEMANA,,,,,,,,,,,4TA SEMANA,,,,,
,1,2,3,4,5,6,7,,,,8,9,10,11,12,13,14,,,,15,16,17,18,19,20,21,,,,22,23,24,25,26,27,28,,,,,29,30,31,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
LEADS-GAC ANGELÓPOLIS-DIC",3,2,3,2,2,6,4,FORMULARIOS,22,,3,-,-,4,5,6,5,FORMULARIOS,23,,4,5,7,2,4,2,2,FORMULARIOS,26,,8,3,1,7,6,5,4,FORMULARIOS,34,105,,2,1,5,FORMULARIOS,8,113
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEADS-EMZOOM-GAC ANGELÓPOLIS,-,-,-,-,-,-,-,FORMULARIOS,0,,-,-,-,-,5,3,3,FORMULARIOS,11,,4,4,2,2,1,1,3,FORMULARIOS,17,,7,3,2,4,3,5,3,FORMULARIOS,27,55,,3,0,0,FORMULARIOS,3,58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEADS-WHATSAPP-ANGELÓPOLIS-,3,3,4,3,3,2,2,CONVERSACIONES,20,,2,6,7,1,1,5,8,CONVERSACIONES,30,,10,8,2,3,6,6,3,CONVERSACIONES,38,,4,3,5,10,6,5,13,CONVERSACIONES,46,134,,14,10,6,CONVERSACIONES,30,164
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHATSAPP ASESORES TLAXCALA,0,2,3,1,2,1,3,CONVERSACIONES,12,,3,0,4,3,2,3,0,CONVERSACIONES,15,,1,12,6,9,7,4,3,CONVERSACIONES,42,,0,3,2,7,8,1,6,CONVERSACIONES,27,96,,5,5,5,CONVERSACIONES,15,111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-WHATSAPP-ASESORES-ANGELOPOLIS,7,11,6,7,5,9,11,CONVERSACIONES,56,,4,3,8,11,4,8,8,CONVERSACIONES,46,,15,16,14,16,12,18,28,CONVERSACIONES,119,,15,8,6,8,13,8,15,CONVERSACIONES,73,294,,15,15,12,CONVERSACIONES,42,336
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-ANA-TLAXCALA,,-,-,-,-,-,-,CONVERSACIONES,0,,,,,,2,7,6,CONVERSACIONES,15,,4,11,7,15,6,4,7,CONVERSACIONES,54,,6,10,7,3,9,4,3,CONVERSACIONES,42,111,,9,3,6,CONVERSACIONES,18,129
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA LEADS TLAXCALA,,-,-,-,-,-,-,FORMULARIOS,0,,,,,1,2,3,,FORMULARIOS,6,,2,2,1,2,3,1,2,FORMULARIOS,13,,5,3,4,3,3,3,2,FORMULARIOS,23,42,,2,3,3,FORMULARIOS,8,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-RMKT ANGELOPOLIS,-,-,-,-,-,-,-,FORMULARIOS,0,,-,-,-,-,-,-,1,FORMULARIOS,1,,2,1,1,0,1,3,3,FORMULARIOS,11,,0,,,,,,,FORMULARIOS,0,12,,-,-,-,FORMULARIOS,0,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA ELÉCTRICOS,-,-,-,-,-,-,-,FORMULARIOS,0,,-,-,-,-,-,-,-,FORMULARIOS,0,,-,-,-,-,-,-,-,FORMULARIOS,0,,-,-,4,0,6,2,3,FORMULARIOS,15,15,,3,3,2,FORMULARIOS,8,23
,,,,,,,,,110,,,,,,,,,,147,,,,,,,,,,320,,,,,,,,,,287,,,,,,,132,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIKES,2568,LIKES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRÁFICO,817,VISITAS A SITIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THRUPLAY,41250,THRUPLAYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMKOOMANÍA,524,INTERACCIONES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORMULARIOS,256,LEADS DE FORMULARIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONVERSACIONES,740,Conversaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-26,1RA SEMANA,,,,,,,,,,2DA SEMANA,,,,,,,,,,3RA SEMANA,,,,,,,,,,4TA SEMANA,,,,,,,,,,,,,,,,
